Name,Url
AMSR2_Cloud_Liquid_Water_Day,https://gibs.earthdata.nasa.gov/colormaps/v1.3/AMSR2_Cloud_Liquid_Water_Day.xml
AMSR2_Cloud_Liquid_Water_Night,https://gibs.earthdata.nasa.gov/colormaps/v1.3/AMSR2_Cloud_Liquid_Water_Night.xml
AMSR2_Surface_Precipitation_Rate_Day,https://gibs.earthdata.nasa.gov/colormaps/v1.3/AMSR2_Surface_Precipitation_Rate_Day.xml
AMSR2_Surface_Precipitation_Rate_Night,https://gibs.earthdata.nasa.gov/colormaps/v1.3/AMSR2_Surface_Precipitation_Rate_Night.xml
AMSR2_Surface_Rain_Rate_Day,https://gibs.earthdata.nasa.gov/colormaps/v1.3/AMSR2_Surface_Rain_Rate_Day.xml
AMSR2_Surface_Rain_Rate_Night,https://gibs.earthdata.nasa.gov/colormaps/v1.3/AMSR2_Surface_Rain_Rate_Night.xml
AMSR2_Wind_Speed_Day,https://gibs.earthdata.nasa.gov/colormaps/v1.3/AMSR2_Wind_Speed_Day.xml
AMSR2_Wind_Speed_Night,https://gibs.earthdata.nasa.gov/colormaps/v1.3/AMSR2_Wind_Speed_Night.xml
AMSR2_Columnar_Water_Vapor_Day,https://gibs.earthdata.nasa.gov/colormaps/v1.3/AMSR2_Columnar_Water_Vapor_Day.xml
AMSR2_Columnar_Water_Vapor_Night,https://gibs.earthdata.nasa.gov/colormaps/v1.3/AMSR2_Columnar_Water_Vapor_Night.xml
AMSRE_Brightness_Temp_89H_Day,https://gibs.earthdata.nasa.gov/colormaps/v1.3/AMSRE_Brightness_Temp_89H_Day.xml
AMSRE_Brightness_Temp_89H_Night,https://gibs.earthdata.nasa.gov/colormaps/v1.3/AMSRE_Brightness_Temp_89H_Night.xml
AMSRE_Brightness_Temp_89V_Day,https://gibs.earthdata.nasa.gov/colormaps/v1.3/AMSRE_Brightness_Temp_89V_Day.xml
AMSRE_Brightness_Temp_89V_Night,https://gibs.earthdata.nasa.gov/colormaps/v1.3/AMSRE_Brightness_Temp_89V_Night.xml
AMSRE_Soil_Moisture_NPD_Day,https://gibs.earthdata.nasa.gov/colormaps/v1.3/AMSR_Soil_Moisture.xml
AMSRE_Soil_Moisture_NPD_Night,https://gibs.earthdata.nasa.gov/colormaps/v1.3/AMSR_Soil_Moisture.xml
AMSRE_Soil_Moisture_SCA_Day,https://gibs.earthdata.nasa.gov/colormaps/v1.3/AMSR_Soil_Moisture.xml
AMSRE_Soil_Moisture_SCA_Night,https://gibs.earthdata.nasa.gov/colormaps/v1.3/AMSR_Soil_Moisture.xml
AMSRE_Surface_Precipitation_Rate_Day,https://gibs.earthdata.nasa.gov/colormaps/v1.3/AMSR_Surface_Precipitation.xml
